,day_week_name,direction,hour,speed_average
98,Thursday,NORTH-SOUTH,16,20.680161746006796
99,Thursday,NORTH-SOUTH,4,38.65498617895599
100,Thursday,NORTH-SOUTH,11,22.48586235957978
101,Thursday,NORTH-SOUTH,1,39.139355858701784
102,Thursday,NORTH-SOUTH,20,27.335017806595136
103,Thursday,NORTH-SOUTH,18,20.232640824184354
104,Thursday,NORTH-SOUTH,12,22.24108407613715
105,Thursday,NORTH-SOUTH,19,23.13210857402082
106,Thursday,NORTH-SOUTH,21,30.206456209205623
107,Thursday,NORTH-SOUTH,9,21.139151294887156
108,Thursday,NORTH-SOUTH,17,19.994627300983424
109,Thursday,NORTH-SOUTH,14,23.470832007561373
110,Thursday,NORTH-SOUTH,7,19.130711248201163
111,Thursday,NORTH-SOUTH,5,32.025290957436155
112,Thursday,NORTH-SOUTH,8,19.354085186006905
113,Thursday,NORTH-SOUTH,13,23.058012727363653
114,Thursday,NORTH-SOUTH,22,32.686897656474066
115,Thursday,NORTH-SOUTH,2,39.766725898228394
116,Thursday,NORTH-SOUTH,15,21.892958970586246
117,Thursday,NORTH-SOUTH,3,40.81651708946919
118,Thursday,NORTH-SOUTH,23,35.800060252043316
119,Thursday,NORTH-SOUTH,0,38.18166808567047
120,Friday,NORTH-SOUTH,4,39.128921872834255
121,Friday,NORTH-SOUTH,6,24.566907861896837
122,Friday,NORTH-SOUTH,13,22.330440070953195
123,Friday,NORTH-SOUTH,7,20.519715162215064
124,Friday,NORTH-SOUTH,5,32.4259927189453
125,Friday,NORTH-SOUTH,22,30.698984807587195
126,Friday,NORTH-SOUTH,3,41.37696658337291
127,Friday,NORTH-SOUTH,1,39.00255638791303
128,Friday,NORTH-SOUTH,23,33.31260589703488
129,Friday,NORTH-SOUTH,19,21.773038829848936
130,Friday,NORTH-SOUTH,14,22.343424822748933
131,Friday,NORTH-SOUTH,17,19.553787056829787
132,Friday,NORTH-SOUTH,10,22.12707299980664
133,Friday,NORTH-SOUTH,2,40.35260428809324
134,Friday,NORTH-SOUTH,8,20.885935779523297
135,Friday,NORTH-SOUTH,0,37.82574530201579
136,Friday,NORTH-SOUTH,11,22.182502079912652
137,Friday,NORTH-SOUTH,21,28.032278862076407
138,Friday,NORTH-SOUTH,16,19.94906028367234
139,Friday,NORTH-SOUTH,20,25.016321332470266
140,Friday,NORTH-SOUTH,15,21.08186294324468
141,Friday,NORTH-SOUTH,9,22.10977220485057
142,Friday,NORTH-SOUTH,12,22.003674604814897
143,Friday,NORTH-SOUTH,18,19.5395244681
144,Saturday,NORTH-SOUTH,16,23.95153792909054
145,Saturday,NORTH-SOUTH,6,31.717155546489007
146,Saturday,NORTH-SOUTH,12,20.430835063623345
147,Saturday,NORTH-SOUTH,17,24.25106831398671
148,Saturday,NORTH-SOUTH,7,29.456594367568677
