hour,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
0,42,42,42,42,41,40,39
1,43,43,43,43,43,41,41
2,44,43,43,43,44,43,43
3,44,43,43,43,45,44,44
4,43,42,42,42,43,43,44
5,39,37,38,38,38,40,42
6,33,32,32,32,32,36,38
7,29,27,28,27,28,33,33
8,27,26,26,26,27,32,30
9,27,25,25,25,26,30,29
10,27,25,25,25,26,28,27
11,26,25,25,25,25,26,26
12,26,25,25,24,24,25,25
13,26,25,25,24,24,25,25
14,27,25,25,24,24,26,29
15,28,26,26,25,25,27,31
16,27,25,26,25,25,27,31
17,27,24,25,24,24,27,30
18,27,25,25,24,24,27,29
19,29,27,27,26,26,28,31
20,32,31,30,29,28,30,33
21,35,34,34,33,31,32,35
22,38,37,37,36,34,35,38
23,40,40,40,39,37,37,41
