,direction,name_to_1,speed_average
0,SOUTH-NORTH,79,21.42164260908482
1,SOUTH-NORTH,59,20.73306634423363
2,NORTH-SOUTH,76,26.471396329270824
3,SOUTH-NORTH,153,34.77628211808778
4,NORTH-SOUTH,106,19.320101438363096
5,NORTH-SOUTH,170,28.340866815520833
6,SOUTH-NORTH,106,21.714957089664175
7,SOUTH-NORTH,39,21.259761532700896
8,SOUTH-NORTH,92,34.496913938556546
9,SOUTH-NORTH,134,32.79216517860119
10,NORTH-SOUTH,116,26.114190174216414
11,NORTH-SOUTH,112,18.701281467664177
12,SOUTH-NORTH,34,20.756273437440466
13,NORTH-SOUTH,188,18.908079477604485
14,NORTH-SOUTH,134,29.258893105156258
15,NORTH-SOUTH,153,25.70400905258184
16,SOUTH-NORTH,116,15.768951512745534
17,NORTH-SOUTH,79,15.170201636830356
18,NORTH-SOUTH,39,22.44130022322917
19,NORTH-SOUTH,140,26.664489372043477
20,NORTH-SOUTH,53,17.85760267862351
21,SOUTH-NORTH,170,31.34369184029019
22,NORTH-SOUTH,85,14.897513516822922
23,NORTH-SOUTH,45,23.21591183035714
24,NORTH-SOUTH,72,17.4253276290625
25,SOUTH-NORTH,127,34.60302033725446
26,NORTH-SOUTH,59,19.16640004949405
27,NORTH-SOUTH,127,26.2932961309747
28,SOUTH-NORTH,121,15.1051728671503
29,SOUTH-NORTH,45,20.312408854084826
30,NORTH-SOUTH,175,28.72424454359375
31,NORTH-SOUTH,63,15.718622023727676
32,NORTH-SOUTH,162,20.808203373058042
33,SOUTH-NORTH,112,16.29381106966418
34,SOUTH-NORTH,32,20.141191840297616
35,NORTH-SOUTH,34,20.049596850156256
36,NORTH-SOUTH,92,27.983791542619045
37,SOUTH-NORTH,72,14.607759920654761
38,NORTH-SOUTH,94,18.886246497557966
39,NORTH-SOUTH,121,18.002634548660712
40,SOUTH-NORTH,162,26.737661954285706
41,SOUTH-NORTH,85,24.190482886815477
42,SOUTH-NORTH,140,35.69276698906994
43,SOUTH-NORTH,76,17.39210825896577
44,SOUTH-NORTH,53,26.0121764633631
45,SOUTH-NORTH,175,16.7768983831194
46,NORTH-SOUTH,147,30.816141120900294
47,SOUTH-NORTH,147,28.23562338810268
48,SOUTH-NORTH,63,17.37400148804315
49,SOUTH-NORTH,94,34.73474193949404
