,year,month_name,hour,speed_average
289,2021,May,22,39
290,2021,May,17,28
291,2021,May,8,29
292,2021,May,12,25
293,2021,May,3,45
294,2021,May,7,31
295,2021,May,23,42
296,2021,May,14,27
297,2021,May,4,45
298,2021,May,2,45
299,2021,May,13,26
300,2021,May,11,26
301,2021,May,9,28
302,2021,May,10,27
303,2021,May,6,35
304,2021,May,20,33
305,2021,May,16,28
306,2021,May,21,36
307,2021,May,19,30
308,2021,May,0,44
309,2021,May,15,28
310,2021,May,1,45
311,2021,May,18,28
312,2022,May,11,25
313,2022,May,12,25
314,2022,May,17,23
315,2022,May,18,22
316,2022,May,21,34
317,2022,May,3,42
318,2022,May,15,26
319,2022,May,14,26
320,2022,May,16,25
321,2022,May,20,31
322,2022,May,10,26
323,2022,May,2,41
324,2022,May,6,29
325,2022,May,5,36
326,2022,May,8,25
327,2022,May,7,25
328,2022,May,9,26
329,2022,May,0,41
330,2022,May,13,25
331,2022,May,23,39
332,2022,May,19,26
333,2022,May,4,40
334,2022,May,1,41
335,2022,May,22,37
336,2020,May,22,39
337,2020,May,12,32
338,2020,May,10,32
339,2020,May,6,36
340,2020,May,11,32
341,2020,May,9,32
342,2020,May,1,43
343,2020,May,8,33
344,2020,May,17,32
345,2020,May,3,43
346,2020,May,19,32
347,2020,May,2,43
348,2020,May,23,41
349,2020,May,16,32
350,2020,May,14,33
351,2020,May,13,33
352,2020,May,21,36
353,2020,May,15,32
354,2020,May,4,42
355,2020,May,18,31
356,2020,May,0,43
357,2020,May,7,34
358,2020,May,5,41
359,2020,May,20,34
360,2020,June,15,30
361,2020,June,3,43
362,2020,June,20,33
363,2020,June,4,43
364,2020,June,22,37
365,2020,June,23,39
366,2020,June,18,29
367,2020,June,2,42
368,2020,June,9,30
369,2020,June,10,30
370,2020,June,17,29
371,2020,June,5,40
372,2020,June,13,30
373,2020,June,6,35
374,2020,June,0,41
375,2020,June,21,35
376,2020,June,11,29
377,2020,June,8,31
378,2020,June,1,42
379,2020,June,19,30
380,2020,June,16,29
381,2020,June,14,30
382,2020,June,7,32
383,2020,June,12,30
384,2022,June,12,25
385,2022,June,10,27
386,2022,June,13,25
387,2022,June,9,27
388,2022,June,2,41
389,2022,June,3,42
390,2022,June,17,24
391,2022,June,21,34
392,2022,June,23,38
393,2022,June,1,41
394,2022,June,22,36
395,2022,June,18,24
396,2022,June,14,27
397,2022,June,8,26
398,2022,June,15,26
399,2022,June,11,26
400,2022,June,7,27
401,2022,June,20,32
402,2022,June,0,40
403,2022,June,16,26
404,2022,June,5,36
405,2022,June,4,40
406,2022,June,19,27
407,2022,June,6,31
408,2021,June,22,37
409,2021,June,10,26
410,2021,June,9,27
